"states","year","name","value","week"
"Aguascalientes",2020,"V2",32,1
"Aguascalientes",2020,"V3",50,2
"Aguascalientes",2020,"V4",34,3
"Aguascalientes",2020,"V5",45,4
"Aguascalientes",2020,"V6",41,5
"Aguascalientes",2020,"V7",30,6
"Aguascalientes",2020,"V8",26,7
"Aguascalientes",2020,"V9",43,8
"Aguascalientes",2020,"V10",32,9
"Aguascalientes",2020,"V11",34,10
"Aguascalientes",2020,"V12",28,11
"Aguascalientes",2020,"V13",23,12
"Aguascalientes",2020,"V14",11,13
"Aguascalientes",2020,"V15",11,14
"Aguascalientes",2020,"V16",21,15
"Aguascalientes",2020,"V17",16,16
"Aguascalientes",2020,"V18",16,17
"Aguascalientes",2020,"V19",15,18
"Aguascalientes",2020,"V20",3,19
"Baja California",2020,"V2",225,1
"Baja California",2020,"V3",272,2
"Baja California",2020,"V4",210,3
"Baja California",2020,"V5",240,4
"Baja California",2020,"V6",280,5
"Baja California",2020,"V7",237,6
"Baja California",2020,"V8",253,7
"Baja California",2020,"V9",247,8
"Baja California",2020,"V10",207,9
"Baja California",2020,"V11",173,10
"Baja California",2020,"V12",160,11
"Baja California",2020,"V13",153,12
"Baja California",2020,"V14",141,13
"Baja California",2020,"V15",179,14
"Baja California",2020,"V16",187,15
"Baja California",2020,"V17",291,16
"Baja California",2020,"V18",253,17
"Baja California",2020,"V19",253,18
"Baja California",2020,"V20",298,19
"Baja California Sur",2020,"V2",18,1
"Baja California Sur",2020,"V3",11,2
"Baja California Sur",2020,"V4",11,3
"Baja California Sur",2020,"V5",13,4
"Baja California Sur",2020,"V6",19,5
"Baja California Sur",2020,"V7",10,6
"Baja California Sur",2020,"V8",13,7
"Baja California Sur",2020,"V9",9,8
"Baja California Sur",2020,"V10",25,9
"Baja California Sur",2020,"V11",23,10
"Baja California Sur",2020,"V12",18,11
"Baja California Sur",2020,"V13",25,12
"Baja California Sur",2020,"V14",13,13
"Baja California Sur",2020,"V15",10,14
"Baja California Sur",2020,"V16",10,15
"Baja California Sur",2020,"V17",2,16
"Baja California Sur",2020,"V18",3,17
"Baja California Sur",2020,"V19",6,18
"Baja California Sur",2020,"V20",8,19
"Campeche",2020,"V2",8,1
"Campeche",2020,"V3",7,2
