"state","ETI_IRAG_acumulado","semana","temporada","ETI_IRAG_semanal","fecha","inegi_id","pop","tasa","orden"
"AGUASCALIENTES",327,1,"2016-2017",NA,2017-01-02,1,1434635,NA,-3.41550289794965
"BAJA CALIFORNIA",169,1,"2016-2017",NA,2017-01-02,2,3634868,NA,3.38389179469516
"BAJA CALIFORNIA SUR",117,1,"2016-2017",NA,2017-01-02,3,804708,NA,2.48537357650229
"CAMPECHE",205,1,"2016-2017",NA,2017-01-02,4,1000617,NA,1.09932171849969
"CHIAPAS",271,1,"2016-2017",NA,2017-01-02,7,5730367,NA,2.04175404472349
"CHIHUAHUA",296,1,"2016-2017",NA,2017-01-02,8,3801487,NA,1.31527478589299
"CIUDAD DE MÉXICO",1002,1,"2016-2017",NA,2017-01-02,9,9018645,NA,8.37154583643109
"COAHUILA",243,1,"2016-2017",NA,2017-01-02,5,3218720,NA,3.7592583387185
"COLIMA",201,1,"2016-2017",NA,2017-01-02,6,785153,NA,2.16518309170315
"DURANGO",90,1,"2016-2017",NA,2017-01-02,10,1868996,NA,-3.10327041898431
"ESTADO DE MÉXICO",841,1,"2016-2017",NA,2017-01-02,15,17427790,NA,3.46572916015169
"GUANAJUATO",175,1,"2016-2017",NA,2017-01-02,11,6228175,NA,0.883083728379501
"GUERRERO",232,1,"2016-2017",NA,2017-01-02,12,3657048,NA,0.765644858913528
"HIDALGO",397,1,"2016-2017",NA,2017-01-02,13,3086414,NA,-0.129600241574851
"JALISCO",393,1,"2016-2017",NA,2017-01-02,14,8409693,NA,2.16416936979745
"MICHOACÁN",281,1,"2016-2017",NA,2017-01-02,16,4825401,NA,3.68881259816542
"MORELOS",180,1,"2016-2017",NA,2017-01-02,17,2044058,NA,1.76120247077138
"NAYARIT",77,1,"2016-2017",NA,2017-01-02,18,1288571,NA,-2.48337111420325
"NUEVO LEÓN",625,1,"2016-2017",NA,2017-01-02,19,5610153,NA,6.1673897307257
"OAXACA",361,1,"2016-2017",NA,2017-01-02,20,4143593,NA,2.07549341839317
"PUEBLA",457,1,"2016-2017",NA,2017-01-02,21,6604451,NA,1.72610865006039
"QUERÉTARO",289,1,"2016-2017",NA,2017-01-02,22,2279637,NA,7.15026120386711
"QUINTANA ROO",369,1,"2016-2017",NA,2017-01-02,23,1723259,NA,0.638325405525229
"SAN LUIS POTOSÍ",221,1,"2016-2017",NA,2017-01-02,24,2866142,NA,1.95384597134406
"SINALOA",219,1,"2016-2017",NA,2017-01-02,25,3156674,NA,3.73811169604464
"SONORA",77,1,"2016-2017",NA,2017-01-02,26,3074745,NA,12.1636103156522
"TABASCO",288,1,"2016-2017",NA,2017-01-02,27,2572287,NA,4.12084654628352
