"year","week","value","size"
"2010",1,561481,1
"2010",2,620314,1
"2010",3,654314,1
"2010",4,649809,1
"2010",5,553197,1
"2010",6,652821,1
"2010",7,645598,1
"2010",8,661149,1
"2010",9,658121,1
"2010",10,630447,1
"2010",11,551735,1
"2010",12,546076,1
"2010",13,409190,1
"2010",14,478043,1
"2010",15,421318,1
"2010",17,451184,1
"2011",1,602559,1
"2011",2,646807,1
"2011",3,660252,1
"2011",4,676604,1
"2011",5,650403,1
"2011",6,609010,1
"2011",7,654813,1
"2011",8,634374,1
"2011",9,585103,1
"2011",10,585023,1
"2011",11,564633,1
"2011",12,508778,1
"2011",13,529041,1
"2011",14,505832,1
"2011",15,461599,1
"2011",17,356316,1
"2012",1,580838,1
"2012",2,679223,1
"2012",3,718578,1
"2012",4,744688,1
"2012",5,715798,1
"2012",6,643668,1
"2012",7,623946,1
"2012",8,645399,1
"2012",9,606096,1
"2012",10,593438,1
"2012",11,550375,1
"2012",12,493582,1
"2012",13,482861,1
"2012",14,364151,1
"2012",15,433271,1
"2012",17,392349,1
"2013",1,493220,1
"2013",2,663967,1
"2013",3,694558,1
"2013",4,735494,1
"2013",5,714195,1
"2013",6,656686,1
"2013",7,675085,1
"2013",8,691794,1
"2013",9,640218,1
"2013",10,665431,1
"2013",11,608834,1
"2013",12,490643,1
"2013",13,388637,1
"2013",14,456784,1
"2013",15,439053,1
"2013",17,441943,1
"2014",1,453595,1
"2014",2,634081,1
"2014",3,706850,1
"2014",4,768704,1
"2014",5,763921,1
"2014",6,661798,1
"2014",7,688276,1
"2014",8,691155,1
"2014",9,610851,1
"2014",10,580043,1
"2014",11,550865,1
"2014",12,500274,1
"2014",13,507723,1
"2014",14,506723,1
"2014",15,494698,1
"2014",17,368504,1
"2015",1,646656,1
"2015",2,676887,1
"2015",3,717632,1
"2015",4,694109,1
"2015",5,611257,1
"2015",6,668504,1
"2015",7,648798,1
"2015",8,614725,1
"2015",9,589101,1
"2015",10,559031,1
"2015",11,481993,1
"2015",12,462166,1
"2015",13,358028,1
"2015",14,423775,1
"2015",15,398978,1
"2015",17,392656,1
"2016",1,478924,1
"2016",2,525174,1
"2016",3,588323,1
"2016",4,629373,1
"2016",5,600098,1
"2016",6,715298,1
"2016",7,763882,1
"2016",8,799877,1
"2016",9,732685,1
"2016",10,633262,1
"2016",11,525454,1
"2016",12,348415,1
"2016",13,422634,1
"2016",14,409508,1
"2016",15,415138,1
"2016",17,430174,1
"2017",1,530253,1
"2017",2,578736,1
"2017",3,615753,1
"2017",4,656536,1
"2017",5,646344,1
"2017",6,633709,1
"2017",7,681358,1
"2017",8,699795,1
"2017",9,663871,1
"2017",10,669068,1
"2017",11,622846,1
"2017",12,573538,1
"2017",13,576005,1
"2017",14,527191,1
"2017",15,405428,1
"2017",17,457867,1
"2018",1,527679,1
"2018",2,648268,1
"2018",3,672728,1
"2018",4,706863,1
"2018",5,636584,1
"2018",6,570324,1
"2018",7,581180,1
"2018",8,580628,1
"2018",9,531047,1
"2018",10,564441,1
"2018",11,550288,1
"2018",12,479984,1
"2018",13,396706,1
"2018",14,447062,1
"2018",15,420620,1
"2018",17,436334,1
"2019",1,514130,1
"2019",2,645310,1
"2019",3,645672,1
"2019",4,687954,1
"2019",5,675856,1
"2019",6,601939,1
"2019",7,629818,1
"2019",8,641341,1
"2019",9,589272,1
"2019",10,564582,1
"2019",11,549691,1
"2019",12,484960,1
"2019",13,482190,1
"2019",14,509910,1
"2019",15,482190,1
"2019",17,365046,1
"2020",1,425173,2
"2020",2,529933,2
"2020",3,561494,2
"2020",4,592785,2
"2020",5,614457,2
"2020",6,531547,2
"2020",7,554602,2
"2020",8,570785,2
"2020",9,543959,2
"2020",10,585552,2
"2020",11,534372,2
"2020",12,641382,2
"2020",13,483034,2
"2020",14,293306,2
"2020",15,194751,2
"2020",16,188178,2
"2020",17,150946,2
