"alcaldía","n","X.","n.1","X..1","X","positividad....","X.1","X.2","procesadas","X.3","n.2","X.4","X..2","week",,,,,,,,
"AZCAPOTZALCO",47,2.4,6,2.4,26.1,"NA","NA",23,"NA",0,"NA",0,"NA",1,,,,,,,,
"COYOACAN",194,10.1,33,13.3,32.4,"NA","NA",102,"NA",1,"NA",25,"NA",1,,,,,,,,
"CUAJIMALPA DE MORELOS",66,3.4,4,1.6,44.4,"NA","NA",9,"NA",0,"NA",0,"NA",1,,,,,,,,
"GUSTAVO A. MADERO",392,20.3,44,17.7,22.1,"NA","NA",199,"NA",1,"NA",25,"NA",1,,,,,,,,
"IZTACALCO",67,3.5,8,3.2,26.7,"NA","NA",30,"NA",0,"NA",0,"NA",1,,,,,,,,
"IZTAPALAPA",231,12,31,12.5,23.3,"NA","NA",133,"NA",1,"NA",25,"NA",1,,,,,,,,
"LA MAGDALENA CONTRERA",50,2.6,9,3.6,27.3,"NA","NA",33,"NA",0,"NA",0,"NA",1,,,,,,,,
"MILPA ALTA",14,0.7,1,0.4,10,"NA","NA",10,"NA",0,"NA",0,"NA",1,,,,,,,,
"ALVARO OBREGON",198,10.3,19,"NA","NA","NA","NA",71,"NA",0,"NA",0,"NA",1,,,,,,,,
"TLAHUAC",62,3.2,6,2.4,25,"NA","NA",24,"NA",0,"NA",0,"NA",1,,,,,,,,
"TLALPAN",214,11.1,36,14.5,26.3,"NA","NA",137,"NA",0,"NA",0,"NA",1,,,,,,,,
"XOCHIMILCO",106,5.5,13,5.2,28.3,"NA","NA",46,"NA",1,"NA",25,"NA",1,,,,,,,,
"BENITO JUAREZ",80,4.1,7,2.8,21.9,"NA","NA",32,"NA",0,"NA",0,"NA",1,,,,,,,,
"CUAUHTEMOC",107,5.5,21,8.5,42,"NA","NA",50,"NA",0,"NA",0,"NA",1,,,,,,,,
"MIGUEL HIDALGO",36,1.9,2,0.8,13.3,"NA","NA",15,"NA",0,"NA",0,"NA",1,,,,,,,,
"VENUSTIANO CARRANZA",66,3.4,8,3.2,24.2,"NA","NA",33,"NA",0,"NA",0,"NA",1,,,,,,,,
"AZCAPOTZALCO",56,2.5,8,2.5,"NA",27.6,"NA","NA",29,"NA",0,"NA",0,2,,,,,,,,
"COYOACAN",231,10.3,42,13.2,"NA",35.6,"NA","NA",118,"NA",2,"NA",33.3,2,,,,,,,,
"CUAJIMALPA DE MORELOS",73,3.3,5,1.6,"NA",50,"NA","NA",10,"NA",0,"NA",0,2,,,,,,,,
"GUSTAVO A. MADERO",451,20.1,52,16.3,"NA",24.4,"NA","NA",213,"NA",1,"NA",16.7,2,,,,,,,,
"IZTACALCO",78,3.5,9,2.8,"NA",27.3,"NA","NA",33,"NA",0,"NA",0,2,,,,,,,,
"IZTAPALAPA",273,12.2,45,14.1,"NA",28,"NA","NA",161,"NA",1,"NA",16.7,2,,,,,,,,
"LA MAGDALENA CONTRERA",60,2.7,12,3.8,"NA",30.8,"NA","NA",39,"NA",0,"NA",0,2,,,,,,,,
"MILPA ALTA",14,0.6,2,0.6,"NA",18.2,"NA","NA",11,"NA",0,"NA",0,2,,,,,,,,
"ALVARO OBREGON",249,11.1,27,"NA","NA","NA","NA","NA",86,"NA",0,"NA",0,2,,,,,,,,
"TLAHUAC",68,3,6,1.9,"NA",24,"NA","NA",25,"NA",0,"NA",0,2,,,,,,,,
"TLALPAN",239,10.6,43,13.5,"NA",28.1,"NA","NA",153,"NA",0,"NA",0,2,,,,,,,,
"XOCHIMILCO",112,5,16,5,"NA",31.4,"NA","NA",51,"NA",1,"NA",16.7,2,,,,,,,,
"BENITO JUAREZ",95,4.2,13,4.1,"NA",32.5,"NA","NA",40,"NA",0,"NA",0,2,,,,,,,,
"CUAUHTEMOC",121,5.4,25,7.8,"NA",43.1,"NA","NA",58,"NA",1,"NA",16.7,2,,,,,,,,
"MIGUEL HIDALGO",47,2.1,5,1.6,"NA",26.3,"NA","NA",19,"NA",0,"NA",0,2,,,,,,,,
"VENUSTIANO CARRANZA",79,3.5,9,2.8,"NA",24.3,"NA","NA",37,"NA",0,"NA",0,2,,,,,,,,
"AZCAPOTZALCO",61,2.4,15,3.8,40.5,37,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"COYOACAN",268,10.5,48,12.3,35,137,2,25,"NA","NA","NA","NA","NA",3,,,,,,,,
"CUAJIMALPA DE MORELOS",79,3.1,6,1.5,54.5,11,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"GUSTAVO A. MADERO",505,19.7,65,16.7,27.4,237,2,25,"NA","NA","NA","NA","NA",3,,,,,,,,
"IZTACALCO",89,3.5,13,3.3,32.5,40,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"IZTAPALAPA",301,11.8,55,14.1,29.6,186,1,12.5,"NA","NA","NA","NA","NA",3,,,,,,,,
"LA MAGDALENA CONTRERA",72,2.8,13,3.3,31,42,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"MILPA ALTA",14,0.5,2,0.5,18.2,11,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"ALVARO OBREGON",295,11.5,33,"NA","NA",100,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"TLAHUAC",75,2.9,7,1.8,26.9,26,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"TLALPAN",278,10.9,49,12.6,28.5,172,1,12.5,"NA","NA","NA","NA","NA",3,,,,,,,,
"XOCHIMILCO",127,5,20,5.1,35.1,57,1,12.5,"NA","NA","NA","NA","NA",3,,,,,,,,
"BENITO JUAREZ",110,4.3,15,3.8,34.1,44,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"CUAUHTEMOC",142,5.6,32,8.2,47.8,67,1,12.5,"NA","NA","NA","NA","NA",3,,,,,,,,
"MIGUEL HIDALGO",60,2.3,6,1.5,28.6,21,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"VENUSTIANO CARRANZA",81,3.2,11,2.8,27.5,40,0,0,"NA","NA","NA","NA","NA",3,,,,,,,,
"AZCAPOTZALCO",65,3.2,11,2.8,27.5,40,0,0,"NA","NA","NA","NA","NA",4,,,,,,,,
"COYOACAN",315,3.2,11,2.8,27.5,40,0,0,"NA","NA","NA","NA","NA",4,,,,,,,,
"CUAJIMALPA DE MORELOS",81,3.2,11,2.8,27.5,40,0,0,"NA","NA","NA","NA","NA",4,,,,,,,,
"GUSTAVO A. MADERO",561,19.7,76,16,29,"NA","NA",262,"NA",2,"NA",22.2,"NA",4,,,,,,,,
"IZTACALCO",102,3.6,18,3.8,36.7,"NA","NA",49,"NA",0,"NA",0,"NA",4,,,,,,,,
"IZTAPALAPA",327,11.5,63,13.3,31.7,"NA","NA",199,"NA",2,"NA",22.2,"NA",4,,,,,,,,
"LA MAGDALENA CONTRERA",80,2.8,15,3.2,30.6,"NA","NA",49,"NA",0,"NA",0,"NA",4,,,,,,,,
"MILPA ALTA",16,0.6,3,0.6,25,"NA","NA",12,"NA",0,"NA",0,"NA",4,,,,,,,,
"ALVARO OBREGON",336,11.8,47,"NA","NA","NA","NA",119,"NA",0,"NA",0,"NA",4,,,,,,,,
