"tipo","semana","n","acumH","acumM","acum19"
"Obesidad",1,700,277,423,908
"Obesidad",2,1036,680,1060,2463
"Obesidad",3,1307,1156,1891,4104
"Obesidad",4,1317,1680,2684,5840
"Obesidad",5,,1680,2684,7515
"Obesidad",6,982,2480,4049,8820
"Obesidad",7,1484,3005,5008,10425
"Obesidad",8,1413,3517,5909,12275
"Obesidad",9,1328,4017,6737,13930
"Obesidad",10,1288,4450,7592,16769
"Obesidad",11,1392,4965,8488,18538
"Obesidad",12,1077,5397,9148,19920
"Obesidad",13,911,5781,9683,21781
"Obesidad",14,633,6040,10057,23611
"Obesidad",15,333,6162,10268,25440
"Obesidad",16,428,6323,10538,26495
"Obesidad",17,409,6497,10776,28329
"Obesidad",18,219,6591,10901,29717
"Depresion",1,159,45,114,177
"Depresion",2,212,96,273,491
"Depresion",3,335,188,517,870
"Depresion",4,335,286,754,1309
"Depresion",5,,286,754,1724
"Depresion",6,304,469,1251,2101
"Depresion",7,360,583,1497,2539
"Depresion",8,404,692,1792,3030
"Depresion",9,314,775,2023,3447
"Depresion",10,360,876,2282,3919
"Depresion",11,293,953,2519,4342
"Depresion",12,244,1014,2702,4741
"Depresion",13,246,1088,2876,5239
"Depresion",14,171,1138,2997,5708
"Depresion",15,126,1174,3087,6189
"Depresion",16,127,1218,3170,6502
"Depresion",17,115,1263,3244,6928
"Depresion",18,86,1298,3296,7346
"Varicela",1,141,68,73,138
"Varicela",2,165,156,149,380
"Varicela",3,124,219,210,589
"Varicela",4,138,304,263,784
"Varicela",5,,304,263,985
"Varicela",6,142,461,393,1169
"Varicela",7,181,557,478,1378
"Varicela",8,196,657,574,1632
"Varicela",9,193,757,667,1858
"Varicela",10,201,864,761,2096
"Varicela",11,193,955,861,2322
"Varicela",12,175,1042,949,2498
"Varicela",13,153,1116,1029,2707
"Varicela",14,125,1178,1092,2903
"Varicela",15,73,1213,1130,3048
"Varicela",16,60,1244,1159,3181
"Varicela",17,27,1256,1174,3394
"Varicela",18,38,1270,1201,3560
