state_code,state_name,date,population
1,AGUASCALIENTES,2020-07-01,1434635
2,BAJA CALIFORNIA,2020-07-01,3634868
3,BAJA CALIFORNIA SUR,2020-07-01,804708
4,CAMPECHE,2020-07-01,1000617
5,COAHUILA,2020-07-01,3218720
6,COLIMA,2020-07-01,785153
7,CHIAPAS,2020-07-01,5730367
8,CHIHUAHUA,2020-07-01,3801487
9,CIUDAD DE MÉXICO,2020-07-01,9018645
10,DURANGO,2020-07-01,1868996
11,GUANAJUATO,2020-07-01,6228175
12,GUERRERO,2020-07-01,3657048
13,HIDALGO,2020-07-01,3086414
14,JALISCO,2020-07-01,8409693
15,ESTADO DE MÉXICO,2020-07-01,17427790
16,MICHOACÁN,2020-07-01,4825401
17,MORELOS,2020-07-01,2044058
18,NAYARIT,2020-07-01,1288571
19,NUEVO LEÓN,2020-07-01,5610153
20,OAXACA,2020-07-01,4143593
21,PUEBLA,2020-07-01,6604451
22,QUERÉTARO,2020-07-01,2279637
23,QUINTANA ROO,2020-07-01,1723259
24,SAN LUIS POTOSÍ,2020-07-01,2866142
25,SINALOA,2020-07-01,3156674
26,SONORA,2020-07-01,3074745
27,TABASCO,2020-07-01,2572287
28,TAMAULIPAS,2020-07-01,3650602
29,TLAXCALA,2020-07-01,1380011
30,VERACRUZ,2020-07-01,8539862
31,YUCATÁN,2020-07-01,2259098
32,ZACATECAS,2020-07-01,1666426
